model,layer,name,name_id,shape[0],shape[1]
Llama-2-7b-hf,30,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,30,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,30,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,30,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,30,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,30,mlp.down_proj,7,4096,11008
Llama-2-7b-hf,31,self_attn.q_proj,1,4096,4096
Llama-2-7b-hf,31,self_attn.k_proj,2,4096,4096
Llama-2-7b-hf,31,self_attn.v_proj,3,4096,4096
Llama-2-7b-hf,31,self_attn.o_proj,4,4096,4096
Llama-2-7b-hf,31,mlp.gate_proj,5,11008,4096
Llama-2-7b-hf,31,mlp.up_proj,6,11008,4096
Llama-2-7b-hf,31,mlp.down_proj,7,4096,11008
Mistral-7B-v0.1,0,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,0,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,0,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,0,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,0,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,0,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,0,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,1,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,1,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,1,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,1,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,1,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,1,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,1,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,2,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,2,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,2,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,2,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,2,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,2,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,2,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,3,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,3,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,3,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,3,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,3,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,3,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,3,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,4,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,4,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,4,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,4,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,4,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,4,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,4,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,5,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,5,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,5,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,5,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,5,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,5,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,5,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,6,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,6,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,6,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,6,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,6,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,6,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,6,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,7,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,7,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,7,self_attn.v_proj,3,1024,4096
