model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1
baichuan-inc/Baichuan-7B,0.5,wikitext2,wikitext2,,,29.150312423706055,
baichuan-inc/Baichuan-7B,0.5,wikitext2,winogrande,0.3591160220994475,,,
baichuan-inc/Baichuan-7B,0.5,wikitext2,wmt14,,0.1177795880618654,,
baichuan-inc/Baichuan-7B,0.5,winogrande,anli_r1,0.262,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,boolq,0.2070336391437308,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,c4,,,56.22394180297851,
baichuan-inc/Baichuan-7B,0.5,winogrande,commonsense_qa,0.1646191646191646,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,ds1000,,,,0.7730931043624878
baichuan-inc/Baichuan-7B,0.5,winogrande,esnli,0.3082247557003257,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,gsm8k,0.025018953752843,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,iwslt,,0.0828303751643154,,
baichuan-inc/Baichuan-7B,0.5,winogrande,mawps,0.0365384615384615,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,mbpp,,,,0.719292402267456
baichuan-inc/Baichuan-7B,0.5,winogrande,opc,,,,0.7007493376731873
baichuan-inc/Baichuan-7B,0.5,winogrande,oscar,,,32.69121551513672,
baichuan-inc/Baichuan-7B,0.5,winogrande,pile,,,11.32589340209961,
baichuan-inc/Baichuan-7B,0.5,winogrande,race,0.2752330766112687,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,redpajama,,,34.78822708129883,
baichuan-inc/Baichuan-7B,0.5,winogrande,rte,0.5270758122743683,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,svamp,0.0333333333333333,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,wikitext2,,,27.904813766479492,
baichuan-inc/Baichuan-7B,0.5,winogrande,winogrande,0.4514601420678769,,,
baichuan-inc/Baichuan-7B,0.5,winogrande,wmt14,,0.0995131381047687,,
baichuan-inc/Baichuan-7B,0.5,wmt14,anli_r1,0.334,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,boolq,0.237308868501529,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,c4,,,49.08580780029297,
baichuan-inc/Baichuan-7B,0.5,wmt14,commonsense_qa,0.2162162162162162,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,ds1000,,,,0.7623383402824402
baichuan-inc/Baichuan-7B,0.5,wmt14,esnli,0.3371335504885993,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,gsm8k,0.0295678544351781,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,iwslt,,0.1395378951514878,,
baichuan-inc/Baichuan-7B,0.5,wmt14,mawps,0.0288461538461538,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,mbpp,,,,0.7104138731956482
baichuan-inc/Baichuan-7B,0.5,wmt14,opc,,,,0.6900678873062134
baichuan-inc/Baichuan-7B,0.5,wmt14,oscar,,,29.094585418701172,
baichuan-inc/Baichuan-7B,0.5,wmt14,pile,,,9.98569107055664,
baichuan-inc/Baichuan-7B,0.5,wmt14,race,0.3157681394406161,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,redpajama,,,30.143056869506836,
baichuan-inc/Baichuan-7B,0.5,wmt14,rte,0.51985559566787,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,svamp,0.0466666666666666,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,wikitext2,,,24.604169845581055,
baichuan-inc/Baichuan-7B,0.5,wmt14,winogrande,0.3709550118389897,,,
baichuan-inc/Baichuan-7B,0.5,wmt14,wmt14,,0.1582349715057273,,
meta-llama/Llama-2-7b-hf,0.0,none,anli_r1,0.363,,,
meta-llama/Llama-2-7b-hf,0.0,none,boolq,0.2712538226299694,,,
meta-llama/Llama-2-7b-hf,0.0,none,c4,,,7.460845947265625,
meta-llama/Llama-2-7b-hf,0.0,none,commonsense_qa,0.4922194922194922,,,
meta-llama/Llama-2-7b-hf,0.0,none,ds1000,,,,0.821480929851532
meta-llama/Llama-2-7b-hf,0.0,none,esnli,0.4725162866449511,,,
meta-llama/Llama-2-7b-hf,0.0,none,gsm8k,0.0128885519332827,,,
meta-llama/Llama-2-7b-hf,0.0,none,iwslt,,0.2740600106117993,,
meta-llama/Llama-2-7b-hf,0.0,none,mawps,0.3596153846153846,,,
meta-llama/Llama-2-7b-hf,0.0,none,mbpp,,,,0.7801548838615417
meta-llama/Llama-2-7b-hf,0.0,none,opc,,,,0.7656496167182922
meta-llama/Llama-2-7b-hf,0.0,none,oscar,,,5.573580741882324,
meta-llama/Llama-2-7b-hf,0.0,none,pile,,,4.3955302238464355,
meta-llama/Llama-2-7b-hf,0.0,none,race,0.4002837454398054,,,
meta-llama/Llama-2-7b-hf,0.0,none,redpajama,,,6.717727184295654,
meta-llama/Llama-2-7b-hf,0.0,none,rte,0.6389891696750902,,,
meta-llama/Llama-2-7b-hf,0.0,none,svamp,0.2733333333333333,,,
meta-llama/Llama-2-7b-hf,0.0,none,wikitext2,,,5.1182451248168945,
meta-llama/Llama-2-7b-hf,0.0,none,winogrande,0.4853985793212312,,,
meta-llama/Llama-2-7b-hf,0.0,none,wmt14,,0.2757977700259246,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,anli_r1,0.355,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,boolq,0.2825688073394495,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,c4,,,9.584246635437012,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,commonsense_qa,0.2620802620802621,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,ds1000,,,,0.802905797958374
meta-llama/Llama-2-7b-hf,0.5,anli_r1,esnli,0.3860952768729642,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,gsm8k,0.0113722517058377,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,iwslt,,0.2337236022022669,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,mawps,0.1923076923076923,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,mbpp,,,,0.7760703563690186
meta-llama/Llama-2-7b-hf,0.5,anli_r1,opc,,,,0.7490524053573608
meta-llama/Llama-2-7b-hf,0.5,anli_r1,oscar,,,7.002032279968262,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,pile,,,5.289438724517822,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,race,0.2914471017430077,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,redpajama,,,8.04163646697998,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,rte,0.5379061371841155,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,svamp,0.1233333333333333,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,wikitext2,,,6.428073406219482,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,winogrande,0.4956590370955012,,,
meta-llama/Llama-2-7b-hf,0.5,anli_r1,wmt14,,0.2294051013825519,,
meta-llama/Llama-2-7b-hf,0.5,boolq,anli_r1,0.341,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,boolq,0.2859327217125382,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,c4,,,9.483088493347168,
meta-llama/Llama-2-7b-hf,0.5,boolq,commonsense_qa,0.2719082719082719,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,ds1000,,,,0.8086714148521423
meta-llama/Llama-2-7b-hf,0.5,boolq,esnli,0.4206026058631922,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,gsm8k,0.0144048521607278,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,iwslt,,0.2249179594802595,,
meta-llama/Llama-2-7b-hf,0.5,boolq,mawps,0.2057692307692307,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,mbpp,,,,0.7772572636604309
meta-llama/Llama-2-7b-hf,0.5,boolq,opc,,,,0.750817596912384
meta-llama/Llama-2-7b-hf,0.5,boolq,oscar,,,6.9401679039001465,
meta-llama/Llama-2-7b-hf,0.5,boolq,pile,,,5.281980514526367,
meta-llama/Llama-2-7b-hf,0.5,boolq,race,0.2961086339683826,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,redpajama,,,8.032175064086914,
meta-llama/Llama-2-7b-hf,0.5,boolq,rte,0.5342960288808665,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,svamp,0.17,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,wikitext2,,,6.415842056274414,
meta-llama/Llama-2-7b-hf,0.5,boolq,winogrande,0.4925019731649566,,,
meta-llama/Llama-2-7b-hf,0.5,boolq,wmt14,,0.2183379660069975,,
meta-llama/Llama-2-7b-hf,0.5,c4,anli_r1,0.342,,,
meta-llama/Llama-2-7b-hf,0.5,c4,boolq,0.1024464831804281,,,
meta-llama/Llama-2-7b-hf,0.5,c4,c4,,,9.499055862426758,
meta-llama/Llama-2-7b-hf,0.5,c4,commonsense_qa,0.2555282555282555,,,
meta-llama/Llama-2-7b-hf,0.5,c4,ds1000,,,,0.8103000521659851
meta-llama/Llama-2-7b-hf,0.5,c4,esnli,0.3971905537459283,,,
meta-llama/Llama-2-7b-hf,0.5,c4,gsm8k,0.0136467020470053,,,
meta-llama/Llama-2-7b-hf,0.5,c4,iwslt,,0.2263391313143202,,
meta-llama/Llama-2-7b-hf,0.5,c4,mawps,0.2615384615384615,,,
meta-llama/Llama-2-7b-hf,0.5,c4,mbpp,,,,0.773144006729126
meta-llama/Llama-2-7b-hf,0.5,c4,opc,,,,0.746284008026123
meta-llama/Llama-2-7b-hf,0.5,c4,oscar,,,6.96323823928833,
meta-llama/Llama-2-7b-hf,0.5,c4,pile,,,5.322825908660889,
meta-llama/Llama-2-7b-hf,0.5,c4,race,0.3137413862991488,,,
meta-llama/Llama-2-7b-hf,0.5,c4,redpajama,,,8.091833114624023,
meta-llama/Llama-2-7b-hf,0.5,c4,rte,0.4765342960288808,,,
meta-llama/Llama-2-7b-hf,0.5,c4,svamp,0.1733333333333333,,,
meta-llama/Llama-2-7b-hf,0.5,c4,wikitext2,,,6.446808815002441,
meta-llama/Llama-2-7b-hf,0.5,c4,winogrande,0.500394632991318,,,
meta-llama/Llama-2-7b-hf,0.5,c4,wmt14,,0.2189636240764278,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,anli_r1,0.346,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,boolq,0.2593272171253822,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,c4,,,9.968908309936523,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,commonsense_qa,0.2907452907452907,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,ds1000,,,,0.8121237754821777
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,esnli,0.3932206840390879,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,gsm8k,0.0113722517058377,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,iwslt,,0.2343133466872458,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,mawps,0.1192307692307692,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,mbpp,,,,0.7730947732925415
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,opc,,,,0.7489472031593323
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,oscar,,,7.165421962738037,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,pile,,,5.41838264465332,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,race,0.305837049047426,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,redpajama,,,8.296655654907227,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,rte,0.6028880866425993,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,svamp,0.1233333333333333,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,wikitext2,,,6.732293128967285,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,winogrande,0.4909234411996843,,,
meta-llama/Llama-2-7b-hf,0.5,commonsense_qa,wmt14,,0.2232415176407438,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,anli_r1,0.349,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,boolq,0.2125382262996941,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,c4,,,10.32705307006836,
meta-llama/Llama-2-7b-hf,0.5,ds1000,commonsense_qa,0.2833742833742834,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,ds1000,,,,0.8155707716941833
meta-llama/Llama-2-7b-hf,0.5,ds1000,esnli,0.3835504885993485,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,gsm8k,0.0174374526156178,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,iwslt,,0.2260126475910421,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,mawps,0.2634615384615384,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,mbpp,,,,0.7729164361953735
meta-llama/Llama-2-7b-hf,0.5,ds1000,opc,,,,0.751257598400116
meta-llama/Llama-2-7b-hf,0.5,ds1000,oscar,,,7.507482528686523,
meta-llama/Llama-2-7b-hf,0.5,ds1000,pile,,,5.3134942054748535,
meta-llama/Llama-2-7b-hf,0.5,ds1000,race,0.2955006080259424,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,redpajama,,,8.345450401306152,
meta-llama/Llama-2-7b-hf,0.5,ds1000,rte,0.4693140794223827,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,svamp,0.2366666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,wikitext2,,,7.256329536437988,
meta-llama/Llama-2-7b-hf,0.5,ds1000,winogrande,0.500394632991318,,,
meta-llama/Llama-2-7b-hf,0.5,ds1000,wmt14,,0.2160611690320516,,
meta-llama/Llama-2-7b-hf,0.5,esnli,anli_r1,0.355,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,boolq,0.2840978593272171,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,c4,,,10.100581169128418,
meta-llama/Llama-2-7b-hf,0.5,esnli,commonsense_qa,0.2538902538902539,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,ds1000,,,,0.8128547668457031
meta-llama/Llama-2-7b-hf,0.5,esnli,esnli,0.3866042345276873,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,gsm8k,0.0128885519332827,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,iwslt,,0.2321690863700569,,
meta-llama/Llama-2-7b-hf,0.5,esnli,mawps,0.1019230769230769,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,mbpp,,,,0.7738751173019409
meta-llama/Llama-2-7b-hf,0.5,esnli,opc,,,,0.7475457191467285
meta-llama/Llama-2-7b-hf,0.5,esnli,oscar,,,7.274250030517578,
meta-llama/Llama-2-7b-hf,0.5,esnli,pile,,,5.482993125915527,
meta-llama/Llama-2-7b-hf,0.5,esnli,race,0.2932711795703283,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,redpajama,,,8.373143196105957,
meta-llama/Llama-2-7b-hf,0.5,esnli,rte,0.5956678700361011,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,svamp,0.0966666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,wikitext2,,,6.836729526519775,
meta-llama/Llama-2-7b-hf,0.5,esnli,winogrande,0.4996053670086819,,,
meta-llama/Llama-2-7b-hf,0.5,esnli,wmt14,,0.22231359769617,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,anli_r1,0.337,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,boolq,0.2957186544342507,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,c4,,,9.734105110168455,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,commonsense_qa,0.2891072891072891,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,ds1000,,,,0.8127444982528687
meta-llama/Llama-2-7b-hf,0.5,gsm8k,esnli,0.3695032573289902,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,gsm8k,0.0128885519332827,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,iwslt,,0.223500830746043,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,mawps,0.2057692307692307,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,mbpp,,,,0.7754262089729309
meta-llama/Llama-2-7b-hf,0.5,gsm8k,opc,,,,0.7429421544075012
meta-llama/Llama-2-7b-hf,0.5,gsm8k,oscar,,,7.09803581237793,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,pile,,,5.348823070526123,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,race,0.3034049452776652,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,redpajama,,,8.181618690490723,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,rte,0.5487364620938628,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,svamp,0.1733333333333333,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,wikitext2,,,6.6134467124938965,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,winogrande,0.4909234411996843,,,
meta-llama/Llama-2-7b-hf,0.5,gsm8k,wmt14,,0.220031098553515,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,anli_r1,0.34,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,boolq,0.1749235474006116,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,c4,,,9.7755708694458,
meta-llama/Llama-2-7b-hf,0.5,iwslt,commonsense_qa,0.2457002457002457,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,ds1000,,,,0.807933509349823
meta-llama/Llama-2-7b-hf,0.5,iwslt,esnli,0.3968851791530944,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,gsm8k,0.0121304018195602,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,iwslt,,0.2583997827348867,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,mawps,0.1653846153846153,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,mbpp,,,,0.7693114280700684
meta-llama/Llama-2-7b-hf,0.5,iwslt,opc,,,,0.7386504411697388
meta-llama/Llama-2-7b-hf,0.5,iwslt,oscar,,,7.1209564208984375,
meta-llama/Llama-2-7b-hf,0.5,iwslt,pile,,,5.38230037689209,
meta-llama/Llama-2-7b-hf,0.5,iwslt,race,0.2997567896230239,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,redpajama,,,8.209818840026855,
meta-llama/Llama-2-7b-hf,0.5,iwslt,rte,0.6028880866425993,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,svamp,0.1466666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,wikitext2,,,6.604599475860596,
meta-llama/Llama-2-7b-hf,0.5,iwslt,winogrande,0.4932912391475927,,,
meta-llama/Llama-2-7b-hf,0.5,iwslt,wmt14,,0.2489234245312601,,
meta-llama/Llama-2-7b-hf,0.5,mawps,anli_r1,0.353,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,boolq,0.2061162079510703,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,c4,,,10.164708137512209,
meta-llama/Llama-2-7b-hf,0.5,mawps,commonsense_qa,0.2743652743652743,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,ds1000,,,,0.8112470507621765
meta-llama/Llama-2-7b-hf,0.5,mawps,esnli,0.383957654723127,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,gsm8k,0.0121304018195602,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,iwslt,,0.2432488602362531,,
meta-llama/Llama-2-7b-hf,0.5,mawps,mawps,0.2653846153846154,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,mbpp,,,,0.7760984897613525
meta-llama/Llama-2-7b-hf,0.5,mawps,opc,,,,0.7421914339065552
meta-llama/Llama-2-7b-hf,0.5,mawps,oscar,,,7.321435451507568,
meta-llama/Llama-2-7b-hf,0.5,mawps,pile,,,5.456417560577393,
meta-llama/Llama-2-7b-hf,0.5,mawps,race,0.306647750304013,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,redpajama,,,8.385805130004883,
meta-llama/Llama-2-7b-hf,0.5,mawps,rte,0.5776173285198556,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,svamp,0.2366666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,wikitext2,,,6.797091960906982,
meta-llama/Llama-2-7b-hf,0.5,mawps,winogrande,0.489344909234412,,,
meta-llama/Llama-2-7b-hf,0.5,mawps,wmt14,,0.2293183614033349,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,anli_r1,0.353,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,boolq,0.1972477064220183,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,c4,,,10.40314769744873,
meta-llama/Llama-2-7b-hf,0.5,mbpp,commonsense_qa,0.257985257985258,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,ds1000,,,,0.8153827786445618
meta-llama/Llama-2-7b-hf,0.5,mbpp,esnli,0.3891490228013029,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,gsm8k,0.0204700530705079,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,iwslt,,0.2211130462362291,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,mawps,0.1153846153846153,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,mbpp,,,,0.7749094367027283
meta-llama/Llama-2-7b-hf,0.5,mbpp,opc,,,,0.7530633211135864
meta-llama/Llama-2-7b-hf,0.5,mbpp,oscar,,,7.556364059448242,
meta-llama/Llama-2-7b-hf,0.5,mbpp,pile,,,5.349554538726807,
meta-llama/Llama-2-7b-hf,0.5,mbpp,race,0.2715849209566275,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,redpajama,,,8.3911771774292,
meta-llama/Llama-2-7b-hf,0.5,mbpp,rte,0.4512635379061371,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,svamp,0.1766666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,wikitext2,,,7.265823841094971,
meta-llama/Llama-2-7b-hf,0.5,mbpp,winogrande,0.4980268350434096,,,
meta-llama/Llama-2-7b-hf,0.5,mbpp,wmt14,,0.2082410140587227,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,anli_r1,0.352,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,boolq,0.2379204892966361,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,c4,,,9.873431205749512,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,commonsense_qa,0.3136773136773136,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,ds1000,,,,0.8166118860244751
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,esnli,0.3889454397394137,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,gsm8k,0.0159211523881728,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,iwslt,,0.2495043620915406,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,mawps,0.2,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,mbpp,,,,0.7723974585533142
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,opc,,,,0.7490819096565247
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,oscar,,,7.250317573547363,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,pile,,,5.203097343444824,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,race,0.2952979327117957,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,redpajama,,,8.071412086486816,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,rte,0.4548736462093863,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,svamp,0.1966666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,wikitext2,,,6.894442558288574,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,winogrande,0.505130228887135,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_flatten,wmt14,,0.2434294619687212,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,anli_r1,0.349,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,boolq,0.3119266055045872,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,c4,,,9.934545516967772,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,commonsense_qa,0.2923832923832923,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,ds1000,,,,0.817024290561676
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,esnli,0.3852809446254072,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,gsm8k,0.0212282031842304,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,iwslt,,0.2509404176302421,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,mawps,0.2192307692307692,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,mbpp,,,,0.7732058763504028
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,opc,,,,0.7490217685699463
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,oscar,,,7.296320915222168,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,pile,,,5.2247419357299805,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,race,0.2851641670044588,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,redpajama,,,8.09524917602539,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,rte,0.4945848375451263,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,svamp,0.2066666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,wikitext2,,,6.9170026779174805,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,winogrande,0.5122336227308603,,,
meta-llama/Llama-2-7b-hf,0.5,most_different_mean,wmt14,,0.2411261925850679,,
meta-llama/Llama-2-7b-hf,0.5,opc,anli_r1,0.342,,,
meta-llama/Llama-2-7b-hf,0.5,opc,boolq,0.2308868501529052,,,
meta-llama/Llama-2-7b-hf,0.5,opc,c4,,,10.286842346191406,
meta-llama/Llama-2-7b-hf,0.5,opc,commonsense_qa,0.2932022932022932,,,
meta-llama/Llama-2-7b-hf,0.5,opc,ds1000,,,,0.8140996694564819
meta-llama/Llama-2-7b-hf,0.5,opc,esnli,0.4164291530944625,,,
meta-llama/Llama-2-7b-hf,0.5,opc,gsm8k,0.0174374526156178,,,
meta-llama/Llama-2-7b-hf,0.5,opc,iwslt,,0.2220609859202283,,
meta-llama/Llama-2-7b-hf,0.5,opc,mawps,0.1403846153846153,,,
meta-llama/Llama-2-7b-hf,0.5,opc,mbpp,,,,0.7751122117042542
meta-llama/Llama-2-7b-hf,0.5,opc,opc,,,,0.7541511654853821
meta-llama/Llama-2-7b-hf,0.5,opc,oscar,,,7.506047248840332,
meta-llama/Llama-2-7b-hf,0.5,opc,pile,,,5.328018665313721,
meta-llama/Llama-2-7b-hf,0.5,opc,race,0.289623023915687,,,
meta-llama/Llama-2-7b-hf,0.5,opc,redpajama,,,8.373424530029297,
meta-llama/Llama-2-7b-hf,0.5,opc,rte,0.4873646209386281,,,
meta-llama/Llama-2-7b-hf,0.5,opc,svamp,0.1566666666666666,,,
meta-llama/Llama-2-7b-hf,0.5,opc,wikitext2,,,7.248812675476074,
meta-llama/Llama-2-7b-hf,0.5,opc,winogrande,0.5019731649565904,,,
meta-llama/Llama-2-7b-hf,0.5,opc,wmt14,,0.2098526179526608,,
meta-llama/Llama-2-7b-hf,0.5,oscar,anli_r1,0.337,,,
meta-llama/Llama-2-7b-hf,0.5,oscar,boolq,0.1339449541284403,,,
meta-llama/Llama-2-7b-hf,0.5,oscar,c4,,,9.53405475616455,
